File extension(s)[1] ,Official name[3] 
.bz2 ,bzip2 , x
".F, .?XF[5] ",Freeze/melt [1] ,
.gz ,gzip , x
.lz ,lzip 
.lz4 ,LZ4 
.lzma ,lzma 
.lzo ,lzop 
.rz ,rzip 
.sfark ,sfArk 
.sz ,Snappy 
.?Q? ,SQ 
.?Z? ,CRUNCH 
.xz ,xz ,x
.z ,pack 
.Z ,compress 
.zst ,Zstandard 
.??_ ,
